show_id;title;synopsis;release_year;date_added;duration;content_type_id_fk;rating_id_fk
60023606;K-19: The Widowmaker;On board Russia's first nuclear ballistic submarine Capt. Vostrikov must race against time to prevent a Chernobyl-like explosion.;2002;2019-11-21;138 min;2;10
80241539;Mortel;After making a deal with a supernatural figure two high schoolers emerge with extraordinary powers and join forces to solve a murder.;2019;2019-11-21;1 Season;1;4
81026188;The Knight Before Christmas;Medieval magic sends a 14th-century knight to modern-day Ohio where he falls for a high school science teacher who's disillusioned by love.;2019;2019-11-21;93 min;2;1
70267398;Adore;When lifelong friends Roz and Lil fall in love with each other's teenage sons they must carry out their affairs in relative secrecy.;2013;2019-11-20;111 min;2;6
81152643;Bangkok Buddies;Living under the same roof a group of unabashed friends wrestle with everyday issues from financial woes and shared quarters to romantic misfires.;2019;2019-11-20;1 Season;1;1
80108983;Be Somebody;To escape the stress of fame teen pop star Jordan goes incognito in a small town where he forms a special bond with high school art student Emily.;2016;2019-11-20;88 min;2;8
292118;Beavis and Butt-head Do America;After realizing that their boob tube is gone Beavis and Butt-head set off on an expedition that takes them from Las Vegas to the nation's capital.;1996;2019-11-20;81 min;2;10
70003046;Bebe's Kids;When ladies' man Robin meets Jamika he falls head over heels but she greets him with four surprises: her son and her girlfriend Bebe's three kids.;1992;2019-11-20;73 min;2;10
80221584;Bikram: Yogi Guru Predator;This documentary charts the rise and fall of hot yoga founder Bikram Choudhury as his global empire is born and disturbing revelations come to light.;2019;2019-11-20;86 min;2;4
70053833;Black Snake Moan;Lazarus finds Rae beaten and near death and acts as a father figure to help redeem her. But before saving anyone Lazarus must face his own demons.;2007;2019-11-20;116 min;2;6
70122722;Carriers;As a lethal virus spreads globally four friends seek a reputed plague-free haven. But while avoiding the infected the travelers turn on one another.;2009;2019-11-20;85 min;2;10
81217738;Dorasaani;A village landlord's daughter and an educated commoner must decide if their budding forbidden love is worth resisting a repressive social hierarchy.;2019;2019-11-20;134 min;2;1
80081990;Dream/Killer;This riveting crime doc follows Bill as he confronts America's broken judicial system after his son is falsely sentenced to 40 years in prison.;2015;2019-11-20;109 min;2;4
60004471;Evolution;After two community college geology professors discover microscopic alien life-forms on a meteorite the military and government become involved.;2001;2019-11-20;102 min;2;10
60022413;Eye for an Eye;Grieving mother Karen McCann takes justice into her own hands when the man who raped and murdered her daughter is freed on a technicality.;1996;2019-11-20;101 min;2;6
81011957;Holiday Secrets;A Christmas reunion becomes a gateway to the past in this three-part series that explores the intimate complexities of one family's history.;2019;2019-11-20;1 Season;1;4
70058022;Hot Rod;Andy Samberg stars in this comedy as an accident-prone daredevil who's determined to jump 15 buses on his moped and impress his abusive stepfather.;2007;2019-11-20;88 min;2;10
60022502;It Takes Two;"The Olsen twins put a cute new spin on Mark Twain's classic tale ""The Prince and the Pauper"" playing identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa.";1995;2019-11-20;101 min;2;8
80244683;Lorena Light-Footed Woman;Lorena Ramírez of Mexico's Rarámuri community lives a pastoral life – except when she straps on her sandals to compete as an ultramarathon runner.;2019;2019-11-20;28 min;2;2
80028357;Love Rosie;Over the years as they come and go in each other's life childhood pals Rosie and Alex struggle to resolve the lasting intimate bond between them.;2014;2019-11-20;103 min;2;6
81217739;Mallesham;A self-trained engineer risks debt love and reputation in his quest to improve the grueling work conditions of his mother and her weaving community.;2019;2019-11-20;131 min;2;5
60031884;Once Upon a Time in the West;In this epic spaghetti Western a flinty gunslinger is hired by a railroad tycoon to kill anyone standing in the way of his trans-American iron horse.;1968;2019-11-20;166 min;2;10
