show_id,genre_id
80134440,5
80195828,1
81136964,15
81088332,5
81121055,16
80233215,1
81110498,4
81081051,6
81060096,13
80105452,25
81092491,22
70236020,22
81002747,8
81075239,17
81108230,2
80996192,13
81090899,4
81095399,4
80986797,11
81055402,2
81035849,4
80195901,8
81018067,4
80220422,1
80100172,6
81033473,8
80185178,9
80220541,5
81035870,4
80009097,11
80993087,1
80209013,12
81033445,11
80993774,1
80109194,6
81023023,1
80161702,6
60024788,8
81035868,3
81035877,3
81131274,17
81035876,4
81035875,4
81035866,3
81027187,4
81035879,3
81035871,22
80216302,4
81105525,2
81017094,4
80190535,2
80241071,4
80993404,13
81092781,10
81001090,8
81083891,2
81092782,10
81092780,10
81092783,10
81136963,15
80037691,15
80998296,3
81123051,2
81081067,1
70304256,11
70140391,28
70305217,11
81034980,2
81123052,3
81035887,3
81113927,4
70302572,11
81108280,1
80213115,6
81027195,6
80198505,11
80213322,7
81079046,6
80245601,10
80227798,6
80029145,12
80222951,1
80158515,12
80002311,6
80242619,3
80230561,16
80238711,6
81035853,4
81035841,3
80220816,1
80175351,11
81147766,2
81035889,3
81088277,17
81035874,3
81035883,8
81035848,4
81002929,13
80221016,2
80221640,10
81044608,5
81061410,31
80202465,4
60024935,8
80074220,1
81025973,4
80113647,6
80121387,4
80227090,22
81113918,3
81029736,10
81051688,10
81113921,3
81006334,5
80211563,16
80173387,2
81013112,2
70294793,4
81030855,4
81035852,3
80079473,17
80018328,3
80996787,4
81035881,3
81035843,3
81035837,10
80039136,4
81035884,3
81035863,3
81035858,3
81035882,3
81035847,4
81035859,4
80223226,21
70264888,20
81076055,10
80996790,10
70181716,2
70270388,17
80114804,4
80237423,13
70304298,10
70117293,3
80010778,12
80179394,16
80244783,5
81028895,1
70038131,4
81110386,4
80108430,4
81092768,3
81092766,3
70060018,8
70202141,3
80188935,1
81032375,31
352989,18
81034775,6
80202183,1
81062606,4
81077795,2
81092767,22
80196657,11
81092909,3
81070008,2
70098605,4
81077539,2
20129240,8
70108017,24
70011219,4
80097424,8
80203143,3
81068732,8
60026155,10
80202874,3
80221787,6
70109249,8
80993095,3
80218448,6
80217946,6
70045644,3
70025612,8
80237006,4
80209096,27
80160033,17
81111849,3
80083930,17
80083752,17
70185023,3
80200549,6
70202150,4
81010699,22
70299863,3
80066080,23
81087094,17
80221447,10
70242063,2
81013657,16
80994222,27
70285581,28
80065386,23
80993756,1
81034931,8
80993739,1
81132060,29
81002195,2
81029429,9
81046255,4
80218306,8
80117554,28
80211638,17
80197889,16
80133311,6
81036190,3
80244680,2
80027042,6
81057229,8
70242081,6
80121348,4
81011598,13
81005364,3
80223556,5
80170690,6
81043473,4
80080768,17
81061407,4
80991872,6
81077863,2
81077851,2
81073590,2
81103108,3
80999455,12
80236341,8
80179138,7
80191050,2
81041271,13
80216758,4
80154610,1
81092192,1
80191680,20
80998967,10
81038047,4
60021906,3
70142827,8
70149579,4
70109375,8
70289558,4
81085319,3
70117577,3
81110388,3
80220311,8
81110389,3
70245163,20
81112772,20
70111279,3
81123050,4
81037237,5
81087124,1
70007056,4
70035357,3
80108481,3
70153178,4
70073018,8
81053958,8
81094666,15
80992787,11
81036199,3
81016247,2
80223928,10
81065331,10
81077874,2
81098013,6
81039410,4
81012340,4
70242536,8
70287630,5
81092777,10
81092779,14
81092776,10
81092778,14
80095699,12
80216541,3
80216756,7
80241986,16
80120485,6
80987113,1
80197989,16
80194950,3
81035836,3
81044103,2
81072917,8
70142542,17
81035855,8
81035845,8
81035856,3
81035857,3
80180684,1
80180681,1
80180710,1
80180545,1
80163296,1
80180588,1
80057918,6
80163532,1
80180591,1
80163533,1
81087762,6
81082953,1
81104339,1
80107369,6
81074375,2
81082781,6
81104372,1
80215139,2
81016592,4
81067760,22
70172928,4
80235472,17
80208662,2
80994596,6
80198459,5
80219707,12
81031939,3
81028570,4
80207066,7
81035867,3
80244640,4
70143825,26
80999729,3
80198137,12
80225312,6
81076042,9
80077417,23
81035880,3
81103139,4
70143369,8
81096151,3
70259801,8
80244271,6
81076049,2
80065146,11
60031264,10
81059956,4
81094667,4
81069255,2
81094083,4
80208082,2
81080637,2
80197303,2
81049260,17
81017593,8
81062075,26
70270364,8
81093342,3
70056441,10
419733,10
80156137,7
81021631,15
81029737,3
81072852,1
80227677,13
80204451,11
81050394,1
80992853,11
81072951,1
81072752,1
81072919,1
81092327,2
81072883,6
80049277,23
81015498,4
80157889,3
81094082,4
80046347,6
80096782,4
81035872,4
81035865,4
80210361,25
70260989,8
80992501,3
